GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ring of Automation Api Library,io.cyborgcode.roa.api.service,RestService,0,154,0,14,0,37,0,16,0,9
Ring of Automation Api Library,io.cyborgcode.roa.api.validator,RestResponseValidatorImpl,6,157,1,15,1,34,1,13,0,5
Ring of Automation Api Library,io.cyborgcode.roa.api.validator,RestAssertionTarget,0,23,0,0,0,5,0,2,0,2
Ring of Automation Api Library,io.cyborgcode.roa.api.core,ParametrizedEndpoint,0,285,0,10,0,46,0,23,0,18
Ring of Automation Api Library,io.cyborgcode.roa.api.core,Endpoint,0,122,0,14,0,28,0,17,0,9
Ring of Automation Api Library,io.cyborgcode.roa.api.log,LogApi,0,57,0,2,0,23,0,12,0,11
Ring of Automation Api Library,io.cyborgcode.roa.api.authentication,BaseAuthenticationClient,0,95,0,8,0,19,0,9,0,5
Ring of Automation Api Library,io.cyborgcode.roa.api.config,ApiConfigHolder,0,13,0,2,0,5,0,3,0,2
Ring of Automation Api Library,io.cyborgcode.roa.api.client,RestClientImpl,0,274,0,22,0,44,0,18,0,7
