"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 27 13:44:34 UTC 2025","Thu Nov 27 13:44:35 UTC 2025","782","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testFullUserLifecycleAndCrossValidation","testFullUserLifecycleAndCrossValidation(Quest, User, Late)",""
"passed","Thu Nov 27 13:44:25 UTC 2025","Thu Nov 27 13:44:29 UTC 2025","3802","","io.cyborgcode.api.test.framework.RoAGeneratedTest","","io.cyborgcode.api.test.framework.RoAGeneratedTest","shouldCreateAndDeleteLeaderUserSuccessfully","shouldCreateAndDeleteLeaderUserSuccessfully(Quest, Late)",""
"passed","Thu Nov 27 13:44:34 UTC 2025","Thu Nov 27 13:44:38 UTC 2025","3968","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testCreateAndDeleteLeaderUser","testCreateAndDeleteLeaderUser(Quest, User)",""
