"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 27 09:17:11 UTC 2025","Thu Nov 27 09:17:15 UTC 2025","4040","","io.cyborgcode.api.test.framework.RoAGeneratedTest","","io.cyborgcode.api.test.framework.RoAGeneratedTest","shouldCreateAndDeleteLeaderUserSuccessfully","shouldCreateAndDeleteLeaderUserSuccessfully(Quest, Late)",""
"broken","Thu Nov 27 09:17:04 UTC 2025","Thu Nov 27 09:17:05 UTC 2025","821","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testFullUserLifecycleAndCrossValidation","testFullUserLifecycleAndCrossValidation(Quest, User, Late)",""
"passed","Thu Nov 27 09:17:04 UTC 2025","Thu Nov 27 09:17:08 UTC 2025","3778","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testCreateAndDeleteLeaderUser","testCreateAndDeleteLeaderUser(Quest, User)",""
