GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.logging,ExceptionLogging,0,112,0,0,0,21,0,3,0,3
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.logging,LoggingFunctions,0,532,1,40,0,92,1,31,0,10
Ring of Automation UI Library,io.cyborgcode.roa.ui.validator,TableAssertionFunctions,0,614,11,149,0,139,11,90,0,21
Ring of Automation UI Library,io.cyborgcode.roa.ui.validator,UiTableValidatorImpl,5,129,1,6,1,30,1,8,0,4
Ring of Automation UI Library,io.cyborgcode.roa.ui.validator,TableAssertionTypes,0,100,0,0,0,18,0,4,0,4
Ring of Automation UI Library,io.cyborgcode.roa.ui.validator,UiTablesAssertionTarget,0,29,0,0,0,6,0,2,0,2
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.shadowroot,ShadowDomUtils,0,429,0,34,0,89,0,27,0,10
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.filters,CellFilterFunction,0,6,0,0,0,2,0,1,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.filters,FilterStrategy,0,33,0,0,0,6,0,1,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.radio,RadioServiceImpl,0,433,0,2,0,46,0,22,0,21
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.radio,RadioService,0,104,0,0,0,26,0,19,0,19
Ring of Automation UI Library,io.cyborgcode.roa.ui.log,LogUi,0,53,0,2,0,21,0,11,0,10
Ring of Automation UI Library,io.cyborgcode.roa.ui.util.strategy,StrategyGenerator,0,43,0,4,0,10,0,7,0,5
Ring of Automation UI Library,io.cyborgcode.roa.ui.util.strategy,Strategy,0,29,0,0,0,6,0,2,0,2
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.interceptor,ApiResponse,0,12,0,0,0,5,0,1,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.base,BaseComponent,0,6,0,0,0,3,0,1,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.base,AbstractComponentService,0,21,0,0,0,5,0,2,0,2
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.list,ItemListService,0,234,0,0,0,54,0,42,0,42
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.list,ItemListServiceImpl,0,1038,0,2,0,101,0,46,0,45
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.loader,LoaderServiceImpl,0,196,0,0,0,26,0,11,0,11
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.loader,LoaderService,0,89,0,0,0,29,0,13,0,13
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.tab,TabService,0,35,0,0,0,10,0,6,0,6
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.tab,TabServiceImpl,0,144,0,2,0,28,0,21,0,20
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.accordion,AccordionServiceImpl,0,365,0,0,0,51,0,23,0,23
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.accordion,AccordionService,0,119,0,0,0,32,0,22,0,22
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.model,TableCell,0,6,0,0,0,3,0,1,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.locating,SmartFinder,0,304,0,24,0,65,0,29,0,17
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.input,InputService,0,123,0,0,0,34,0,22,0,22
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.input,Input,2,0,0,0,2,0,2,0,2,0
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.input,InputServiceImpl,0,484,0,6,0,78,0,29,0,26
Ring of Automation UI Library,io.cyborgcode.roa.ui.util.table,TableReflectionUtil,14,182,1,23,4,44,1,20,0,9
Ring of Automation UI Library,io.cyborgcode.roa.ui.insertion,InsertionServiceRegistry,0,21,0,0,0,5,0,3,0,3
Ring of Automation UI Library,io.cyborgcode.roa.ui.insertion,InsertionServiceFieldImpl,0,33,0,0,0,10,0,6,0,6
Ring of Automation UI Library,io.cyborgcode.roa.ui.insertion,BaseInsertionService,9,152,0,8,2,40,0,14,0,10
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.registry,TableServiceRegistry,0,39,0,0,0,9,0,5,0,5
Ring of Automation UI Library,io.cyborgcode.roa.ui.config,UiConfigHolder,0,10,0,2,0,3,0,2,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.sort,SortingStrategy,0,21,0,0,0,4,0,1,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.button,Button,1,0,0,0,1,0,1,0,1,0
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.button,ButtonService,0,77,0,0,0,22,0,14,0,14
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.button,ButtonServiceImpl,0,168,0,2,0,37,0,17,0,16
Ring of Automation UI Library,io.cyborgcode.roa.ui.service.facade,UiService,173,0,0,0,32,0,2,0,2,0
